sample_order,dataset_index,label,channel,channel_index,shap_value,feature_value
27,291644,-1,Feature 1,0,0.03430014822857374,-0.8919185996055603
27,291644,-1,Feature 2,1,-0.0482582073786483,-1.18364679813385
27,291644,-1,Feature 3,2,0.04129869294580965,-0.561844527721405
27,291644,-1,Feature 4,3,-0.004409375301868289,-0.747998833656311
27,291644,-1,Feature 5,4,-0.010059762077757418,0.8347583413124084
27,291644,-1,FIS,5,0.0044246088726146975,0.5207568407058716
27,291644,-1,Ag,6,0.0041979400506043625,-0.5247324109077454
27,291644,-1,As,7,-0.016402000007238918,-0.5464332103729248
27,291644,-1,Au,8,-0.03162527131765394,-0.2707332670688629
27,291644,-1,Cu,9,0.011876968700250654,-0.7054376602172852
27,291644,-1,Sb,10,0.01850606894224472,-0.6177151203155518
27,291644,-1,ΔT,11,0.019919700691090822,0.21067583560943604
28,262469,-1,Feature 1,0,-0.0076378140766695315,0.2945825457572937
28,262469,-1,Feature 2,1,0.0027113176669065625,0.12098551541566849
28,262469,-1,Feature 3,2,0.014645923792445104,-0.3338594436645508
28,262469,-1,Feature 4,3,0.0033247830745746954,0.03999816253781319
28,262469,-1,Feature 5,4,-0.012055136681473103,0.48568788170814514
28,262469,-1,FIS,5,-0.004648254752082577,-0.5702898502349854
28,262469,-1,Ag,6,0.0015216269532397893,-0.3810634911060333
28,262469,-1,As,7,-0.0022915471412508453,-0.22574679553508759
28,262469,-1,Au,8,-0.05480284124550487,-0.33722177147865295
28,262469,-1,Cu,9,0.03839194923964408,-0.34537938237190247
28,262469,-1,Sb,10,0.00426055958937975,-0.2007586658000946
28,262469,-1,ΔT,11,-0.06856424344090457,-1.3290064334869385
29,47849,-1,Feature 1,0,-0.06308753620323165,0.9782763123512268
29,47849,-1,Feature 2,1,0.06964276688028859,1.385412573814392
29,47849,-1,Feature 3,2,-0.028486563670516045,1.081241488456726
29,47849,-1,Feature 4,3,-0.03397298180485671,1.1283705234527588
29,47849,-1,Feature 5,4,0.03984723119323259,-0.4039047062397003
29,47849,-1,FIS,5,0.0010817250847897067,-0.5821801424026489
29,47849,-1,Ag,6,-0.0036483263659828277,0.10355160385370255
29,47849,-1,As,7,-0.0027342898412793656,0.0439712218940258
29,47849,-1,Au,8,-0.01827231293010058,-0.3268832266330719
29,47849,-1,Cu,9,-0.031109650616743846,1.079927682876587
29,47849,-1,Sb,10,0.007670968730533091,0.2707941234111786
29,47849,-1,ΔT,11,0.005596454074145601,0.4598776400089264
30,257090,-1,Feature 1,0,0.04436374012911298,-0.9992833733558655
30,257090,-1,Feature 2,1,4.1360264812730335e-05,-0.5250118970870972
30,257090,-1,Feature 3,2,0.009568435969589199,-0.49546313285827637
30,257090,-1,Feature 4,3,0.025295411260804035,-0.4354257881641388
